
id,cylinders,displacement,horsepower,<weight,>acceleration,model,origin,>mpg,dom_score
376,4.0,2.0,2.0,2125.0,14.7,7.0,1.0,40.0,348
377,4.0,2.0,2.0,1965.0,15.0,7.0,3.0,40.0,359
378,4.0,2.0,2.0,1995.0,16.2,7.0,3.0,40.0,367
379,6.0,8.0,4.0,3015.0,17.0,7.0,1.0,40.0,325
380,4.0,2.0,1.0,1968.0,18.8,7.0,3.0,40.0,383
381,4.0,1.0,2.0,1875.0,16.4,7.0,1.0,40.0,371
382,4.0,1.0,1.0,1755.0,16.9,7.0,3.0,40.0,379
383,4.0,1.0,3.0,2070.0,18.6,6.0,3.0,40.0,381
384,4.0,1.0,2.0,2110.0,19.2,7.0,3.0,40.0,382
385,4.0,2.0,3.0,2144.0,14.7,7.0,2.0,40.0,345
386,4.0,2.0,1.0,1985.0,21.5,6.0,2.0,40.0,388
387,4.0,2.0,1.0,2335.0,23.7,7.0,2.0,40.0,390
388,4.0,2.0,1.0,2130.0,24.6,7.0,2.0,40.0,391
389,4.0,2.0,1.0,2085.0,21.7,7.0,2.0,40.0,387
390,4.0,2.0,2.0,1850.0,13.8,7.0,3.0,40.0,351
391,4.0,1.0,2.0,2110.0,17.9,7.0,3.0,50.0,389
